uid,gene_id,direction,padj,log2FoldChange,source
BM_204,ENSG00000196376,down,4.18052274573846e-09,-1.91802480866846,tnbc140226
BM_205,ENSG00000115461,down,4.35891225088173e-09,-8.55921025255288,tnbc140226
BM_206,ENSG00000157087,down,4.35891225088173e-09,-7.47942119660934,tnbc140226
BM_207,ENSG00000079385,down,8.843866122661931e-09,-3.37665305987993,tnbc140226
BM_208,ENSG00000112175,down,1.82334869410284e-08,-8.04356040273569,tnbc140226
BM_209,ENSG00000114757,down,1.9027870445472e-08,-4.47935548743099,tnbc140226
BM_210,ENSG00000183778,down,3.59815975528731e-08,-6.87167323110627,tnbc140226
BM_211,ENSG00000184809,down,3.80458044257075e-08,-7.91578866769721,tnbc140226
BM_212,ENSG00000137767,down,4.73437910109446e-08,-6.76677999311725,tnbc140226
BM_213,ENSG00000159674,down,6.60418507299491e-08,-1.3604370842859,tnbc140226
BM_214,ENSG00000183287,down,6.60418507299491e-08,-5.28320904626605,tnbc140226
BM_215,ENSG00000101096,down,7.47289639983561e-08,-1.44034356189592,tnbc140226
BM_216,ENSG00000211934,down,1.10372659158989e-07,-2.77372987098949,tnbc140226
BM_217,ENSG00000105792,down,1.72403073711259e-07,-2.60797380207507,tnbc140226
BM_218,ENSG00000167779,down,2.82534224735259e-07,-1.07346299224872,tnbc140226
BM_219,ENSG00000116774,down,3.01591599597043e-07,-4.97358766466089,tnbc140226
BM_220,ENSG00000260448,down,3.44806986900837e-07,-2.41312783507698,tnbc140226
BM_221,ENSG00000272808,down,3.53339634244287e-07,-5.42067610456954,tnbc140226
BM_222,ENSG00000105894,down,3.75165308508856e-07,-1.69344927718416,tnbc140226
BM_223,ENSG00000103196,down,4.67162858628621e-07,-2.55912463723249,tnbc140226
BM_224,ENSG00000103522,down,5.67705056759516e-07,-4.14962999054325,tnbc140226
BM_225,ENSG00000135048,down,9.63182054747587e-07,-2.02853149565245,tnbc140226
BM_226,ENSG00000154102,down,9.66550294787049e-07,-2.10085233129622,tnbc140226
BM_227,ENSG00000164283,down,1.12913707050955e-06,-9.61517310439628,tnbc140226
BM_228,ENSG00000172828,down,1.78044285544803e-06,-1.86867751998727,tnbc140226
BM_229,ENSG00000185634,down,1.80727019714533e-06,-2.58383479594996,tnbc140226
BM_230,ENSG00000132386,down,2.32969155485376e-06,-1.51534453767554,tnbc140226
BM_231,ENSG00000130707,down,2.46730449011109e-06,-3.77681392777634,tnbc140226
BM_232,ENSG00000154721,down,2.46730449011109e-06,-1.23407671404494,tnbc140226
BM_233,ENSG00000124212,down,2.85094541734605e-06,-3.02006363259218,tnbc140226
BM_234,ENSG00000271447,down,4.29415288536075e-06,-6.8771337439167,tnbc140226
BM_235,ENSG00000121440,down,5.61907547875249e-06,-6.75686631961558,tnbc140226
BM_236,ENSG00000087245,down,5.7915961960234e-06,-4.33539799297488,tnbc140226
BM_237,ENSG00000100311,down,6.10049644615895e-06,-1.30244075469456,tnbc140226
BM_238,ENSG00000215861,down,7.03699297285665e-06,-3.48701826994632,tnbc140226
BM_239,ENSG00000146197,down,7.16724887951137e-06,-1.07092710748548,tnbc140226
BM_240,ENSG00000253741,down,7.1745125432463e-06,-1.63198347089047,tnbc140226
BM_241,ENSG00000206075,down,7.75782570169181e-06,-6.95398373986857,tnbc140226
BM_242,ENSG00000123388,down,7.82986608943737e-06,-3.45971216578701,tnbc140226
BM_243,ENSG00000158859,down,8.95097615407351e-06,-1.78522042435776,tnbc140226
BM_244,ENSG00000189190,down,9.11945292009373e-06,-1.15837487234814,tnbc140226
BM_245,ENSG00000116985,down,9.32776776011942e-06,-1.24131603147475,tnbc140226
BM_246,ENSG00000151789,down,1.00414522233704e-05,-1.21154275869242,tnbc140226
BM_247,ENSG00000145882,down,1.01760068499837e-05,-1.0985190899733,tnbc140226
BM_248,ENSG00000278023,down,1.46468343807691e-05,-2.243930093242,tnbc140226
BM_249,ENSG00000152402,down,1.56759730984731e-05,-3.06055036307295,tnbc140226
