uid,gene_id,direction,padj,log2FoldChange,source
BM_250,ENSG00000260630,down,1.77252012772985e-05,-1.54361925023103,tnbc140226
BM_251,ENSG00000155530,down,1.82367899759854e-05,-4.046636043518,tnbc140226
BM_252,ENSG00000174640,down,1.87760820012971e-05,-2.01427150305065,tnbc140226
BM_253,ENSG00000101210,down,1.9977372762633e-05,-1.48346135055183,tnbc140226
BM_254,ENSG00000156510,down,2.25990386815946e-05,-1.96908626075092,tnbc140226
BM_255,ENSG00000153814,down,2.29970065788725e-05,-1.91290688091441,tnbc140226
BM_256,ENSG00000153823,down,2.35859264666248e-05,-1.53532963466276,tnbc140226
BM_257,ENSG00000166578,down,2.95003670040255e-05,-1.13405686731006,tnbc140226
BM_258,ENSG00000234840,down,3.28930085536264e-05,-1.96463056858394,tnbc140226
BM_259,ENSG00000157214,down,3.37747029007016e-05,-1.89861225571626,tnbc140226
BM_260,ENSG00000273297,down,3.50419011532123e-05,-2.59902430509196,tnbc140226
BM_261,ENSG00000075407,down,3.50419011532123e-05,-1.03801740859293,tnbc140226
BM_262,ENSG00000180806,down,3.52941030987774e-05,-1.40134919355843,tnbc140226
BM_263,ENSG00000179083,down,4.02415808688261e-05,-6.5913437489991,tnbc140226
BM_264,ENSG00000120820,down,4.03806989442987e-05,-3.01724611446048,tnbc140226
BM_265,ENSG00000121281,down,4.54200227242635e-05,-1.13456511318111,tnbc140226
BM_266,ENSG00000133636,down,4.82933637674918e-05,-8.6400265851177,tnbc140226
BM_267,ENSG00000168917,down,5.21555929938358e-05,-1.33525107444762,tnbc140226
BM_268,ENSG00000221867,down,5.21555929938358e-05,-5.59128976197124,tnbc140226
BM_269,ENSG00000196415,down,5.22178944072811e-05,-1.56383561067337,tnbc140226
BM_270,ENSG00000058335,down,6.47203901082396e-05,-1.88566631500646,tnbc140226
BM_271,ENSG00000227954,down,6.90154313210541e-05,-6.51340319893837,tnbc140226
BM_272,ENSG00000178878,down,7.3961850404818e-05,-1.55052071969369,tnbc140226
BM_273,ENSG00000198538,down,7.67945566317431e-05,-1.4312482538451,tnbc140226
BM_274,ENSG00000182175,down,7.78648761348861e-05,-1.5266599260084,tnbc140226
BM_275,ENSG00000185924,down,8.43869878276516e-05,-1.00427195920818,tnbc140226
BM_276,ENSG00000116991,down,0.0001028450090653,-1.77684815675998,tnbc140226
BM_277,ENSG00000286769,down,0.0001067141706852,-6.37862702079086,tnbc140226
BM_278,ENSG00000138678,down,0.0001134059970236,-2.01925788095505,tnbc140226
BM_279,ENSG00000144645,down,0.0001158304080415,-2.26567613702088,tnbc140226
BM_280,ENSG00000148344,down,0.0001257700986399,-1.78552427606295,tnbc140226
BM_281,ENSG00000137463,down,0.0001339493036354,-1.38132006830125,tnbc140226
BM_282,ENSG00000111424,down,0.0001339493036354,-2.48353573941489,tnbc140226
BM_283,ENSG00000123364,down,0.0001628343576179,-1.99781050349568,tnbc140226
BM_284,ENSG00000106804,down,0.0001718805032707,-1.11622987090131,tnbc140226
BM_285,ENSG00000144619,down,0.0001734476651565,-2.69358379475536,tnbc140226
BM_286,ENSG00000223768,down,0.0001791023047207,-1.42690316981376,tnbc140226
BM_287,ENSG00000172379,down,0.0001818590910935,-1.99220410290599,tnbc140226
BM_288,ENSG00000030419,down,0.0002242153913869,-3.94084594202047,tnbc140226
BM_289,ENSG00000271743,down,0.0002293178529835,-1.33000732459838,tnbc140226
BM_290,ENSG00000115267,down,0.0002310818183594,-1.47885760894409,tnbc140226
BM_291,ENSG00000128604,down,0.0002523958648583,-1.0568321166609,tnbc140226
BM_292,ENSG00000176641,down,0.0002620207075737,-2.41190741651985,tnbc140226
BM_293,ENSG00000132623,down,0.0002914756522321,-1.27073629194114,tnbc140226
BM_294,ENSG00000107485,down,0.0002981685629841,-1.76792145050454,tnbc140226
BM_295,ENSG00000111859,down,0.0003060666234934,-4.13549377511481,tnbc140226
BM_296,ENSG00000167157,down,0.000308673443111,-3.4304881111336,tnbc140226
BM_297,ENSG00000203805,down,0.0003322692496473,-6.16512253920659,tnbc140226
BM_298,ENSG00000135749,down,0.0003364904653324,-1.47889898253846,tnbc140226
BM_299,ENSG00000287453,down,0.0003730627600231,-3.10589684558552,tnbc140226
BM_300,ENSG00000125384,down,0.0003972993377765,-5.8332386413157,tnbc140226
BM_301,ENSG00000161681,down,0.0004681049161581,-5.79236200953418,tnbc140226
BM_302,ENSG00000173227,down,0.0004780055584504,-1.11416165456475,tnbc140226
BM_303,ENSG00000021300,down,0.0005176403830801,-1.19315114750834,tnbc140226
BM_304,ENSG00000135205,down,0.0005207679463178,-1.35349237502675,tnbc140226
BM_305,ENSG00000146592,down,0.0005354404667438,-1.52958196481315,tnbc140226
BM_306,ENSG00000115641,down,0.0005440573203966,-1.88595222153029,tnbc140226
BM_307,ENSG00000102048,down,0.0005706721598097,-3.52878020146718,tnbc140226
BM_308,ENSG00000228630,down,0.0005984700082325,-2.51828823452847,tnbc140226
BM_309,ENSG00000187601,down,0.0006204305007405,-2.59339059908107,tnbc140226
BM_310,ENSG00000168404,down,0.0006631317709086,-1.22804420206855,tnbc140226
BM_311,ENSG00000183690,down,0.0007698905504373,-1.27257162340522,tnbc140226
BM_312,ENSG00000248508,down,0.000773421750895,-1.13231902670589,tnbc140226
BM_313,ENSG00000077942,down,0.0008208380971534,-1.33018294647962,tnbc140226
BM_314,ENSG00000165194,down,0.0008557031756652,-2.00745850118792,tnbc140226
